Apteryx australis mantelli
Struthio camelus
Tinamus guttatus
Opisthocomus hoazin
Gavia stellata
Colius striatus
Cuculus canorus
Apaloderma vittatum
Columba livia
Fulmarus glacialis
Tauraco erythrolophus
Pterocles gutturalis
Picoides pubescens
Tyto alba
Cariama cristata
Buceros rhinoceros silvestris
Falco peregrinus
Falco cherrug
Pygoscelis adeliae
Aptenodytes forsteri
Merops nubicus
Leptosomus discolor
Melopsittacus undulatus
Nestor notabilis
Charadrius vociferus
Calidris pugnax
Aquila chrysaetos
Haliaeetus albicilla
Haliaeetus leucocephalus
Antrostomus carolinensis
Calypte anna
Chaetura pelagica
Eurypyga helias
Mesitornis unicolor
Chlamydotis macqueenii
Nipponia nippon
Phaethon lepturus
Pelecanus crispus
Phalacrocorax carbo
Egretta garzetta
Anser cygnoides
Anas platyrhynchos
Numida meleagris
Gallus gallus
Coturnix japonica
Meleagris gallopavo
Acanthisitta chloris
Sturnus vulgaris
Geospiza fortis
Zonotrichia albicollis
Ficedula albicollis
Corvus cornix cornix
Corvus brachyrhynchos
Manacus vitellinus
Lepidothrix coronata
Cyanistes caeruleus
Pseudopodoces humilis
Parus major
Serinus canaria
Taeniopygia guttata
Lonchura striata
