Trichoplax adhaerens
Amphimedon queenslandica
Hydra vulgaris
Nematostella vectensis
Exaiptasia pallida
Orbicella faveolata
Acropora digitifera
Stylophora pistillata
Echinococcus granulosus
Opisthorchis viverrini
Schistosoma haematobium
Schistosoma mansoni
Lingula anatina
Helobdella robusta
Octopus bimaculoides
Lottia gigantea
Aplysia californica
Biomphalaria glabrata
Mizuhopecten yessoensis
Crassostrea gigas
Crassostrea virginica
Priapulus caudatus
Trichinella spiralis
Brugia malayi
Loa loa
Necator americanus
Caenorhabditis remanei
Caenorhabditis briggsae
Caenorhabditis elegans
Limulus polyphemus
Centruroides sculpturatus
Stegodyphus mimosarum
Parasteatoda tepidariorum
Tetranychus urticae
Sarcoptes scabiei
Euroglyphus maynei
Ixodes scapularis
Galendromus occidentalis
Tropilaelaps mercedesae
Varroa jacobsoni
Strigamia maritima
Daphnia magna
Daphnia pulex
Hyalella azteca
Eurytemora affinis
Tigriopus californicus
Lepeophtheirus salmonis
Campodea augens
Catajapyx aquilonaris
Folsomia candida
Orchesella cincta
Ephemera danica
Calopteryx splendens
Ladona fulva
Galloisiana yuasai
Locusta migratoria
Blattella germanica
Zootermopsis nevadensis
Pediculus humanus
Frankliniella occidentalis
Homalodisca vitripennis
Nilaparvata lugens
Gerris buenoi
Oncopeltus fasciatus
Halyomorpha halys
Cimex lectularius
Rhodnius prolixus
Bemisia tabaci
Pachypsylla venusta
Diaphorina citri
Aphis glycines
Rhopalosiphum padi
Diuraphis noxia
Acyrthosiphon pisum
Myzus persicae
Myzus cerasi
Mengenilla moldrzyki
Agrilus planipennis
Nicrophorus vespilloides
Oryctes borbonicus
Onthophagus taurus
Aethina tumida
Dendroctonus ponderosae
Tribolium castaneum
Leptinotarsa decemlineata
Anoplophora glabripennis
Limnephilus lunatus
Plutella xylostella
Operophtera brumata
Bombyx mori
Manduca sexta
Spodoptera litura
Helicoverpa armigera
Chilo suppressalis
Amyelois transitella
Pieris rapae
Papilio polytes
Papilio glaucus
Papilio xuthus
Danaus plexippus
Melitaea cinxia
Heliconius erato lativitta
Heliconius melpomene
Orussus abietinus
Cephus cinctus
Neodiprion lecontei
Athalia rosae
Trichogramma pretiosum
Nasonia vitripennis
Ceratosolen solmsi marchali
Copidosoma floridanum
Microplitis demolitor
Macrocentrus cingulum
Fopius arisanus
Diachasma alloeum
Polistes canadensis
Megachile rotundata
