Rhincodon typus
Callorhinchus milii
Paramormyrops kingsleyae
Scleropages formosus
Monopterus albus
Boleophthalmus pectinirostris
Cyprinodon variegatus
Fundulus heteroclitus
Xiphophorus maculatus
Poecilia reticulata
Poecilia latipinna
Poecilia mexicana
Poecilia formosa
Austrofundulus limnaeus
Kryptolebias marmoratus
Nothobranchius furzeri
Oryzias latipes
Oryzias melastigma
Maylandia zebra
Pundamilia nyererei
Haplochromis burtoni
Neolamprologus brichardi
Oreochromis niloticus
Amphiprion ocellaris
Stegastes partitus
Acanthochromis polyacanthus
Larimichthys crocea
Takifugu rubripes
Notothenia coriiceps
Labrus bergylta
Lates calcarifer
Cynoglossus semilaevis
Paralichthys olivaceus
Seriola dumerili
Seriola lalandi
Hippocampus comes
Esox lucius
Oncorhynchus mykiss
Oncorhynchus kisutch
Oncorhynchus tshawytscha
Salmo salar
Salvelinus alpinus
Astyanax mexicanus
Pygocentrus nattereri
Ictalurus punctatus
Sinocyclocheilus anshuiensis
Sinocyclocheilus grahami
Sinocyclocheilus rhinocerous
Cyprinus carpio
Danio rerio
Clupea harengus
Lepisosteus oculatus
Latimeria chalumnae
Ornithorhynchus anatinus
Phascolarctos cinereus
Sarcophilus harrisii
Monodelphis domestica
Dasypus novemcinctus
Elephantulus edwardii
Loxodonta africana
Chrysochloris asiatica
Orycteropus afer
Trichechus manatus
Echinops telfairi
Ceratotherium simum
Equus asinus
Equus przewalskii
Equus caballus
Manis javanica
Odobenus rosmarus divergens
Neomonachus schauinslandi
Leptonychotes weddellii
Enhydra lutris
Mustela putorius
Ailuropoda melanoleuca
Ursus maritimus
Canis lupus familiaris
Felis catus
Panthera pardus
Panthera tigris
Acinonyx jubatus
Sorex araneus
Erinaceus europaeus
Condylura cristata
Pteropus vampyrus
Pteropus alecto
Rousettus aegyptiacus
Hipposideros armiger
Eptesicus fuscus
Myotis davidii
Myotis brandtii
Myotis lucifugus
Miniopterus natalensis
Rhinolophus sinicus
Sus scrofa
Tursiops truncatus
Orcinus orca
Delphinapterus leucas
Lipotes vexillifer
Physeter catodon
Balaenoptera acutorostrata
Bubalus bubalis
Bison bison
Bos indicus
Bos grunniens
Bos taurus
Pantholops hodgsonii
Capra hircus
Ovis aries musimon
Odocoileus virginianus
Camelus bactrianus
Camelus ferus
Camelus dromedarius
Vicugna pacos
Oryctolagus cuniculus
Ochotona princeps
Octodon degus
Heterocephalus glaber
Fukomys damarensis
Chinchilla lanigera
Cavia porcellus
Dipodomys ordii
Castor canadensis
Marmota marmota marmota
Ictidomys tridecemlineatus
Jaculus jaculus
Mus musculus
Mus caroli
Mus pahari
Rattus norvegicus
Meriones unguiculatus
Peromyscus maniculatus bairdii
Microtus ochrogaster
Mesocricetus auratus
Cricetulus griseus
Nannospalax galili
Tupaia chinensis
Carlito syrichta
Cercocebus atys
Papio anubis
Chlorocebus sabaeus
Macaca fascicularis
Macaca mulatta
Macaca nemestrina
Mandrillus leucophaeus
Piliocolobus tephrosceles
Rhinopithecus roxellana
Rhinopithecus bieti
Colobus angolensis palliatus
Homo sapiens
Gorilla gorilla gorilla
Pan paniscus
Pan troglodytes
Pongo abelii
Nomascus leucogenys
Aotus nancymaae
Cebus imitator
Saimiri boliviensis boliviensis
Callithrix jacchus
Propithecus coquereli
Microcebus murinus
Otolemur garnettii
Galeopterus variegatus
Python bivittatus
Protobothrops mucrosquamatus
Thamnophis sirtalis
Anolis carolinensis
Pogona vitticeps
Gekko japonicus
Chelonia mydas
Chrysemys picta bellii
Pelodiscus sinensis
Buceros rhinoceros silvestris
Picoides pubescens
Gavia stellata
Calypte anna
Chaetura pelagica
Antrostomus carolinensis
Cuculus canorus
Pygoscelis adeliae
Aptenodytes forsteri
Numida meleagris
Coturnix japonica
Meleagris gallopavo
Gallus gallus
Anser cygnoides
Anas platyrhynchos
Chlamydotis macqueenii
Mesitornis unicolor
Eurypyga helias
Balearica regulorum gibbericeps
Phalacrocorax carbo
Phaethon lepturus
Nipponia nippon
Egretta garzetta
Pelecanus crispus
Tauraco erythrolophus
Charadrius vociferus
Calidris pugnax
Nestor notabilis
Melopsittacus undulatus
Apaloderma vittatum
Opisthocomus hoazin
Tyto alba
Colius striatus
Columba livia
Fulmarus glacialis
Falco cherrug
Falco peregrinus
Pterocles gutturalis
Haliaeetus albicilla
Aquila chrysaetos
Cariama cristata
Geospiza fortis
Zonotrichia albicollis
Cyanistes caeruleus
Pseudopodoces humilis
Parus major
Ficedula albicollis
Acanthisitta chloris
Corvus cornix cornix
Corvus brachyrhynchos
Taeniopygia guttata
Lonchura striata
Serinus canaria
Sturnus vulgaris
Lepidothrix coronata
Manacus vitellinus
Leptosomus discolor
Merops nubicus
Struthio camelus
Tinamus guttatus
Alligator sinensis
Alligator mississippiensis
Gavialis gangeticus
Crocodylus porosus
Nanorana parkeri
Xenopus tropicalis
Xenopus laevis
