Dorcoceras hygrometricum
Erythranthe guttata
Helianthus annuus
Lactuca sativa
Daucus carota
Spinacia oleracea
Chenopodium quinoa
Raphanus sativus
Brassica rapa
Arabidopsis thaliana
Camelina sativa
Capsella rubella
Cucumis melo
Quercus suber
Juglans regia
Phaseolus vulgaris
Medicago truncatula
Trifolium pratense
Cicer arietinum
Hevea brasiliensis
Manihot esculenta
Aquilegia coerulea
Macleaya cordata
Zostera marina
Asparagus officinalis
Zea mays
Setaria italica
Oryza brachyantha
Triticum aestivum
Aegilops tauschii
Brachypodium distachyon
Nelumbo nucifera
Amborella trichopoda
Selaginella moellendorffii
Physcomitrium patens
Marchantia polymorpha subsp. ruderalis
Klebsormidium nitens
Monoraphidium neglectum
Gonium pectorale
Tetrabaena socialis
Chlorella variabilis
Chlorella sorokiniana
