name,taxid
Guillardia theta CCMP2712,905079
Thecamonas trahens ATCC 50062,461836
Emiliania huxleyi CCMP1516,280463
Plasmodiophora brassicae,37360
Reticulomyxa filosa,46433
Naegleria fowleri,5763
Naegleria gruberi strain NEG-M,744533
Chondrus crispus,2769
Tritrichomonas foetus,1144522
Acanthamoeba castellanii str. Neff,1257118
Heterostelium album PN500,670386
Nannochloropsis gaditana CCMP526,1093141
Aureococcus anophagefferens,44056
Ectocarpus siliculosus,2880
Blastocystis hominis,12968
Blastocystis sp. ATCC 50177/Nand II,478820
Blastocystis sp. subtype 4,944170
Thalassiosira oceanica CCMP1005,637379
Thalassiosira pseudonana CCMP1335,296543
Fragilariopsis cylindrus CCMP1102,635003
Fistulifera solaris,1519565
Phaeodactylum tricornutum CCAP 1055/1,556484
Albugo candida,65357
Pythium insidiosum,114742
Thraustotheca clavata,74557
Achlya hypogyna,1202772
Aphanomyces astaci,112090
Aphanomyces invadans,157072
Saprolegnia diclina VS20,1156394
Plasmopara halstedii,4781
Phytophthora sojae,67593
Phytophthora megakarya,4795
Phytophthora parasitica P1569,1317065
Phytophthora infestans T30-4,403677
Perkinsela sp. CCAP 1560/4,1314962
Bodo saltans,75058
Angomonas deanei,59799
Strigomonas culicis,28005
Trypanosoma brucei gambiense DAL972,679716
Trypanosoma congolense IL3000,1068625
Trypanosoma rangeli SC58,429131
Trypanosoma vivax Y486,1055687
Trypanosoma theileri,67003
Trypanosoma grayi,71804
Trypanosoma cruzi marinkellei,85056
Trypanosoma cruzi strain CL Brener,353153
Trypanosoma cruzi cruzi,85057
Endotrypanum monterogeii,5705
Crithidia fasciculata,5656
Leptomonas pyrrhocoris,157538
Leptomonas seymouri,5684
Leishmania tarentolae,5689
Leishmania enriettii,5663
Leishmania panamensis,5679
Leishmania turanica,62297
Leishmania sp. MAR LEM2494,1303197
Leishmania infantum,5671
Leishmania major strain Friedlin,347515
Perkinsus marinus ATCC 50983,423536
Symbiodinium microadriaticum,2951
Chromera velia CCMP2878,1169474
Stentor coeruleus,5963
Oxytricha trifallax,1172189
Stylonychia lemnae,5949
Pseudocohnilembus persalinus,266149
Paramecium tetraurelia strain d4-2,412030
Ichthyophthirius multifiliis,5932
Tetrahymena thermophila SB210,312017
Gregarina niphandrodes,110365
Cryptosporidium hominis,237895
Cryptosporidium ubiquitum,857276
Cryptosporidium muris RN66,441375
Cryptosporidium meleagridis,93969
Cryptosporidium andersoni,117008
Hammondia hammondi,99158
Neospora caninum Liverpool,572307
Besnoitia besnoiti,94643
Toxoplasma gondii RH,383379
Cystoisospora suis,483139
Sarcocystis neurona,42890
Cyclospora cayetanensis,88456
Eimeria tenella strain Penn State,480043
Eimeria praecox,51316
Eimeria maxima,5804
Eimeria brunetti,51314
Eimeria mitis,44415
Eimeria falciformis,84963
Eimeria acervulina,5801
Eimeria necatrix,51315
Babesia bovis T2Bo,484906
Babesia bigemina,5866
Babesia microti strain RI,1133968
Babesia ovata,189622
Babesia sp. Xinjiang,462227
Cytauxzoon felis,27996
Theileria parva strain Muguga,333668
Theileria annulata,5874
Theileria orientalis strain Shintoku,869250
Theileria equi,5872
Plasmodium coatneyi,208452
Plasmodium gallinaceum,5849
Plasmodium relictum,85471
Plasmodium chabaudi chabaudi,31271
Plasmodium yoelii yoelii 17XNL,352914
Plasmodium berghei ANKA,5823
Plasmodium vinckei petteri,138298
Plasmodium vinckei vinckei,54757
Plasmodium sp. gorilla clade G3,880536
Plasmodium sp. gorilla clade G2,880535
Plasmodium reichenowi,5854
Plasmodium falciparum 3D7,36329
Plasmodium ovale curtisi,864141
Plasmodium malariae,5858
Plasmodium vivax,5855
Plasmodium inui San Antonio 1,1237626
Plasmodium fragile,5857
Plasmodium knowlesi strain H,5851
Plasmodium gonderi,77519
Plasmodium cynomolgi strain M,1274352
Micromonas commoda,296587
Micromonas pusilla CCMP1545,564608
Bathycoccus prasinos,41875
Ostreococcus tauri,70448
Ostreococcus lucimarinus CCE9901,436017
Coccomyxa subellipsoidea C-169,574566
Auxenochlorella protothecoides,3075
Helicosporidium sp. ATCC 50920,1291522
Chlorella sorokiniana,3076
Chlorella variabilis,554065
Monoraphidium neglectum,145388
Tetrabaena socialis,47790
Gonium pectorale,33097
Volvox carteri f. nagariensis,3068
Chlamydomonas reinhardtii,3055
Chlamydomonas eustigma,1157962
Klebsormidium nitens,105231
Physcomitrella patens,3218
Marchantia polymorpha subsp. ruderalis,1480154
Selaginella moellendorffii,88036
Amborella trichopoda,13333
Nelumbo nucifera,4432
Macleaya cordata,56857
Aquilegia coerulea,218851
Zostera marina,29655
Asparagus officinalis,4686
Apostasia shenzhenica,1088818
Phalaenopsis equestris,78828
Dendrobium officinale,142615
Musa acuminata subsp. malaccensis,214687
Phoenix dactylifera,42345
Elaeis guineensis,51953
Ananas comosus,4615
Zea mays,4577
Sorghum bicolor,4558
