name,taxid
Absidia glauca,4829
Absidia repens,90262
Acanthamoeba castellanii str. Neff,1257118
Acanthaster planci,133434
Acanthisitta chloris,57068
Acanthochromis polyacanthus,80966
Achlya hypogyna,1202772
Acidomyces richmondensis,245562
Acinonyx jubatus,32536
Acremonium chrysogenum ATCC 11550,857340
Acromyrmex echinatior,103372
Acropora digitifera,70779
Acyrthosiphon pisum,7029
Acytostelium subglobosum LB1,1410327
Aedes aegypti,7159
Aedes albopictus,7160
Aegilops tauschii,37682
Aethina tumida,116153
Agaricus bisporus var. burnettii JB137-S8,597362
Agrilus planipennis,224129
Ailuropoda melanoleuca,9646
Albugo candida,65357
Alligator mississippiensis,8496
Alligator sinensis,38654
Allomyces macrogynus ATCC 38327,578462
Alternaria alternata,5599
Amanita muscaria Koide BX008,946122
Amanita thiersii Skay4041,703135
Amborella trichopoda,13333
Amphimedon queenslandica,400682
Amphiprion ocellaris,80972
Amyelois transitella,680683
Anaeromyces robustus,1754192
Ananas comosus,4615
Anas platyrhynchos,8839
Angomonas deanei,59799
Anolis carolinensis,28377
Anopheles albimanus,7167
Anopheles atroparvus,41427
Anopheles christyi,43041
Anopheles culicifacies,139723
Anopheles darlingi,43151
Anopheles dirus,7168
Anopheles epiroticus,199890
Anopheles farauti,69004
Anopheles funestus,62324
Anopheles gambiae,7165
Anopheles maculatus,74869
Anopheles minimus,112268
Anopheles sinensis,74873
Anopheles stephensi,30069
Anoplophora glabripennis,217634
Anser cygnoides,8845
Anthracocystis flocculosa PF-1,1277687
Antrostomus carolinensis,279965
Aotus nancymaae,37293
Apaloderma vittatum,57397
Aphanomyces astaci,112090
Aphanomyces invadans,157072
Aphis glycines,307491
Apis mellifera,7460
Aplysia californica,6500
Apostasia shenzhenica,1088818
Aptenodytes forsteri,9233
Apteryx australis mantelli,202946
Aquila chrysaetos,8962
Aquilegia coerulea,218851
Arabidopsis lyrata subsp. lyrata,81972
Arabidopsis thaliana,3702
Arabis alpina,50452
Arachis duranensis,130453
Armillaria gallica,47427
Armillaria ostoyae,47428
Armillaria solidipes,1076256
Arthrobotrys oligospora ATCC 24927,756982
Ascochyta rabiei,5454
Ascoidea rubescens DSM 1968,1344418
Ascosphaera apis ARSEF 7405,392613
Asparagus officinalis,4686
Aspergillus aculeatus ATCC 16872,690307
Aspergillus arachidicola,656916
Aspergillus bombycis,109264
Aspergillus brasiliensis CBS 101740,767769
Aspergillus calidoustus,454130
Aspergillus campestris IBT 28561,1392248
Aspergillus carbonarius ITEM 5010,602072
Aspergillus clavatus NRRL 1,344612
Aspergillus cristatus,573508
Aspergillus fischeri NRRL 181,331117
Aspergillus flavus AF70,1392242
Aspergillus fumigatus Af293,330879
Aspergillus glaucus CBS 516.65,1160497
Aspergillus lentulus,293939
Aspergillus luchuensis CBS 106.47,1137211
Aspergillus nidulans FGSC A4,227321
Aspergillus niger,5061
Aspergillus nomius NRRL 13137,1509407
Aspergillus novofumigatus IBT 16806,1392255
Aspergillus rambellii,308745
Aspergillus ruber CBS 135680,1388766
Aspergillus steynii IBT 23096,1392250
Aspergillus sydowii CBS 593.65,1036612
Aspergillus taichungensis,482145
Aspergillus terreus NIH2624,341663
Aspergillus thermomutatus,41047
Aspergillus turcosus,1245748
Aspergillus udagawae,91492
Aspergillus versicolor CBS 583.65,1036611
Aspergillus wentii DTO 134E9,1073089
Astyanax mexicanus,7994
Athalia rosae,37344
Atta colombica,520822
Aureobasidium melanogenum CBS 110374,1043003
Aureobasidium namibiae CBS 147.97,1043004
Aureobasidium pullulans EXF-150,1043002
Aureobasidium subglaciale EXF-2481,1043005
Aureococcus anophagefferens,44056
Auricularia subglabra TFB-10046 SS5,717982
Austrofundulus limnaeus,52670
Auxenochlorella protothecoides,3075
Babesia bigemina,5866
Babesia bovis T2Bo,484906
Babesia microti strain RI,1133968
Babesia ovata,189622
Babesia sp. Xinjiang,462227
Babjeviella inositovora NRRL Y-12698,984486
Bactrocera latifrons,174628
Bactrocera oleae,104688
Balaenoptera acutorostrata,9767
Balearica regulorum gibbericeps,100784
Basidiobolus meristosporus CBS 931.73,1314790
Bathycoccus prasinos,41875
Batrachochytrium dendrobatidis JAM81,684364
Batrachochytrium salamandrivorans,1357716
Baudoinia panamericana UAMH 10762,717646
Beauveria bassiana,176275
Belgica antarctica,315563
Bemisia tabaci,7038
Besnoitia besnoiti,94643
Beta vulgaris subsp. vulgaris,3555
Biomphalaria glabrata,6526
Bipolaris maydis ATCC 48331,665024
Bipolaris oryzae ATCC 44560,930090
Bipolaris sorokiniana ND90Pr,665912
Bipolaris zeicola 26-R-13,930089
Bison bison,9901
Blastocystis hominis,12968
Blastocystis sp. ATCC 50177/Nand II,478820
Blastocystis sp. subtype 4,944170
Blastomyces dermatitidis ATCC 26199,447095
Blastomyces percursus,1658174
Blattella germanica,6973
Blumeria graminis f. sp. hordei DH14,546991
Blumeria graminis f. sp. tritici 96224,1268274
Bodo saltans,75058
Boleophthalmus pectinirostris,150288
Bombus impatiens,132113
Bombyx mori,7091
Bos grunniens,30521
Bos indicus,9915
Bos taurus,9913
Botryobasidium botryosum FD-172 SS1,930990
Botrytis cinerea B05.10,332648
Brachypodium distachyon,15368
Branchiostoma belcheri,7741
Branchiostoma floridae,7739
Brassica rapa,3711
Brugia malayi,6279
Bubalus bubalis,89462
Buceros rhinoceros silvestris,175836
Byssochlamys spectabilis No. 5,1356009
Caenorhabditis briggsae,6238
Caenorhabditis elegans,6239
Caenorhabditis remanei,31234
Cajanus cajan,3821
Calidris pugnax,198806
Callithrix jacchus,9483
Callorhinchus milii,7868
Calocera cornea HHB12733,1353952
Calocera viscosa TUFC12733,1330018
Calopteryx splendens,52612
Calypte anna,9244
Camelina sativa,90675
Camelus bactrianus,9837
Camelus dromedarius,9838
Camelus ferus,419612
Campodea augens,438502
Camponotus floridanus,104421
Candida albicans SC5314,237561
Candida dubliniensis CD36,573826
Candida maltosa Xu316,1245528
Candida orthopsilosis Co 90-125,1136231
Candida parapsilosis,5480
Candida tropicalis MYA-3404,294747
Canis lupus familiaris,9615
Capra hircus,9925
Capronia coronata CBS 617.96,1182541
Capronia epimyces CBS 606.96,1182542
Capsaspora owczarzaki ATCC 30864,595528
Capsella rubella,81985
Capsicum annuum,4072
Capsicum chinense,80379
Cardiocondyla obscurior,286306
Cariama cristata,54380
Carica papaya,3649
Carlito syrichta,1868482
Castor canadensis,51338
Catajapyx aquilonaris,438503
Catenaria anguillulae PL171,765915
Cavenderia fasciculata,261658
Cavia porcellus,10141
Cebus capucinus imitator,1737458
Cenococcum geophilum 1.58,794803
Centruroides sculpturatus,218467
Cephalotus follicularis,3775
Cephus cinctus,211228
Ceraceosorus bombacis,401625
Ceratina calcarata,156304
Ceratitis capitata,7213
Ceratocystis fimbriata CBS 114723,1035309
Ceratosolen solmsi marchali,326594
Ceratotherium simum,9807
Cercocebus atys,9531
Cercospora berteroae,357750
Cercospora beticola,122368
Cercospora zeina,348901
Chaetomium globosum CBS 148.51,306901
Chaetomium thermophilum var. thermophilum DSM 1495,759272
Chaetura pelagica,8897
Charadrius vociferus,50402
Chelonia mydas,8469
Chenopodium quinoa,63459
Chilo suppressalis,168631
Chinchilla lanigera,34839
Chlamydomonas eustigma,1157962
Chlamydomonas reinhardtii,3055
Chlamydotis macqueenii,187382
Chlorella sorokiniana,3076
Chlorella variabilis,554065
Chlorocebus sabaeus,60711
Choanephora cucurbitarum,101091
Chondrus crispus,2769
Chromera velia CCMP2878,1169474
Chrysemys picta bellii,8478
Chrysochloris asiatica,185453
Chrysochromulina sp. CCMP291,1460289
Cicer arietinum,3827
Cimex lectularius,79782
Ciona intestinalis,7719
Citrus sinensis,2711
Cladophialophora bantiana CBS 173.52,1442370
Cladophialophora carrionii CBS 160.54,1279043
Cladophialophora immunda,569365
Cladophialophora yegresii CBS 114405,1182544
Claviceps purpurea 20.1,1111077
Clavispora lusitaniae,36911
Clohesyomyces aquaticus,1231657
Clunio marinus,568069
Clupea harengus,7950
Coccidioides immitis RS,246410
Coccomyxa subellipsoidea C-169,574566
Coemansia reversa NRRL 1564,763665
Colius striatus,57412
Colletotrichum chlorophyti,708187
Colletotrichum gloeosporioides Cg-14,1237896
Colletotrichum gloeosporioides Nara gc5,1213859
Colletotrichum graminicola M1.001,645133
Colletotrichum higginsianum IMI 349063,759273
Colletotrichum incanum,1573173
Colletotrichum orbiculare MAFF 240422,1213857
Colletotrichum orchidophilum,1209926
Colletotrichum salicis,1209931
Colletotrichum simmondsii,703756
Colletotrichum sublineola,1173701
Colletotrichum tofieldiae,708197
Colobus angolensis palliatus,336983
Columba livia,8932
Condylura cristata,143302
Conidiobolus coronatus NRRL 28638,796925
Coniochaeta ligniaria NRRL 30616,1408157
Coniophora puteana RWD-64-598 SS2,741705
Coniosporium apollinis CBS 100218,1168221
Copidosoma floridanum,29053
Coprinopsis cinerea okayama7#130,240176
Corchorus capsularis,210143
Corchorus olitorius,93759
Cordyceps brongniartii RCEF 3172,1081107
Cordyceps confragosa,2714763
Cordyceps confragosa RCEF 1005,1081108
Cordyceps fumosorosea ARSEF 2679,1081104
Cordyceps militaris CM01,983644
Cordyceps sp. RAO-2017,2004951
Corvus brachyrhynchos,85066
Corvus cornix cornix,932674
Coturnix japonica,93934
Crassostrea gigas,29159
Crassostrea virginica,6565
Cricetulus griseus,10029
Crithidia fasciculata,5656
Crocodylus porosus,8502
Cryptococcus amylolentus CBS 6273,1296118
Cryptococcus depauperatus CBS 7841,1295531
Cryptococcus gattii CA1280,1296109
Cryptococcus gattii NT-10,1296108
Cryptococcus gattii VGII CBS 10090,1296101
