ASB14,ATP1B1,AXDND1,SMPDL3A,ARHGEF12,BLK,PRMT6,CD164L2,ANP32A
2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0
4.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0
4.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,4.0
6.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0
4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0
4.0,3.0,0.0,3.0,4.0,2.0,1.0,2.0,1.0
8.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0
5.0,4.0,1.0,4.0,5.0,4.0,2.0,2.0,3.0
6.0,4.0,2.0,3.0,6.0,3.0,2.0,2.0,4.0
6.0,4.0,2.0,3.0,6.0,4.0,2.0,2.0,4.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
5.0,4.0,1.0,3.0,5.0,3.0,1.0,2.0,12.0
4.0,2.0,1.0,2.0,6.0,2.0,1.0,0.0,9.0
5.0,3.0,1.0,4.0,8.0,2.0,1.0,0.0,11.0
4.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,5.0
4.0,4.0,1.0,2.0,6.0,3.0,1.0,1.0,12.0
6.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0
4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,4.0
3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0
5.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0
6.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0
4.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,4.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,5.0
4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
4.0,2.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0
5.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,5.0
3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0
4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0
5.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,7.0
3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0
4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0
3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0
3.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0
3.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0
3.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0
2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0
2.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,4.0
2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0
2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0
1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0
2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0
1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0
2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0
2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0
2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0
2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,3.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0
2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0
2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0
2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0
