Organisms,ASTN1,Morf4l1,TPRN,ARMCX1,TEX19,Tex19.2,NPM1
Thecamonas trahens ATCC 50062,0,1,0,0,0,0,0
Guillardia theta CCMP2712,0,2,0,0,0,0,0
Crithidia fasciculata,0,0,0,0,0,0,0
Trypanosoma cruzi marinkellei,0,0,0,0,0,0,0
Heterostelium album PN500,0,1,0,0,0,0,0
Cavenderia fasciculata,0,1,0,0,0,0,0
Sarcocystis neurona,0,0,0,0,0,0,0
Saprolegnia diclina VS20,0,2,0,0,0,0,0
Aphanomyces invadans,0,1,0,0,0,0,0
Ostreococcus lucimarinus CCE9901,0,1,0,0,0,0,0
Helicosporidium sp. ATCC 50920,0,0,0,0,0,0,0
Chlorella variabilis,0,1,0,0,0,0,0
Klebsormidium nitens,0,1,0,0,0,0,0
Physcomitrella patens,0,2,0,0,0,0,0
Selaginella moellendorffii,0,5,0,0,0,0,0
Amborella trichopoda,0,1,0,0,0,0,0
Aquilegia coerulea,0,1,0,0,0,0,0
Macleaya cordata,0,1,0,0,0,0,0
Zostera marina,0,1,0,0,0,0,0
Aegilops tauschii,0,2,0,0,0,0,0
Triticum urartu,0,1,0,0,0,0,0
Arabidopsis thaliana,0,2,0,0,0,0,0
Camelina sativa,0,7,0,0,0,0,0
Ipomoea nil,0,7,0,0,0,0,0
Petunia axillaris,0,2,0,0,0,0,0
Capsicum annuum,0,2,0,0,0,0,0
Solanum tuberosum,0,2,0,0,0,0,0
Solanum lycopersicum,0,2,0,0,0,0,0
Capsaspora owczarzaki ATCC 30864,0,1,0,0,0,0,0
Fonticula alba,0,1,0,0,0,0,0
Sphaeroforma arctica JP610,0,3,0,0,0,0,0
Batrachochytrium salamandrivorans,0,1,0,0,0,0,0
Vavraia culicis subsp. floridensis,0,0,0,0,0,0,0
Nosema ceranae,0,0,0,0,0,0,0
Rhodotorula taiwanensis,0,1,0,0,0,0,0
Malassezia sympodialis ATCC 42132,0,1,0,0,0,0,0
Malassezia globosa CBS 7966,0,1,0,0,0,0,0
Schizopora paradoxa,0,1,0,0,0,0,0
Sanghuangporus baumii,0,1,0,1,0,0,0
Schizophyllum commune H4-8,0,1,0,0,0,0,0
Hypsizygus marmoreus,0,1,0,0,0,0,0
Saitoella complicata NRRL Y-17804,0,1,0,0,0,0,0
Schizosaccharomyces cryophilus OY26,0,1,0,0,0,0,0
Pachysolen tannophilus NRRL Y-2460,0,1,0,0,0,0,0
Candida tropicalis MYA-3404,0,1,0,0,0,0,0
Candida parapsilosis,0,1,0,0,0,0,0
Zymoseptoria brevis,0,1,0,0,0,0,0
Ramularia collo-cygni,0,1,0,0,0,0,0
Fonsecaea pedrosoi CBS 271.37,0,1,0,0,0,0,0
Penicillium griseofulvum,0,1,0,0,0,0,0
Aspergillus brasiliensis CBS 101740,0,1,0,0,0,0,0
Rhynchosporium commune,0,1,0,0,0,0,0
Marssonina coronariae,0,1,0,0,0,0,0
Diplocarpon rosae,0,2,0,0,0,0,0
Fusarium graminearum,0,1,0,0,0,0,0
Stachybotrys chlorohalonata IBT 40285,0,1,0,0,0,0,0
Acremonium chrysogenum ATCC 11550,0,1,0,0,0,0,0
Ustilaginoidea virens,0,1,0,0,0,0,0
Amphimedon queenslandica,0,2,0,0,0,0,0
Trichoplax adhaerens,0,2,0,0,0,0,1
Hydra vulgaris,0,3,0,0,0,0,0
Exaiptasia pallida,1,2,0,1,0,0,0
Nematostella vectensis,0,2,0,0,0,0,0
Mizuhopecten yessoensis,0,3,0,0,0,0,1
Caenorhabditis remanei,0,16,0,0,0,0,0
Brugia malayi,0,4,0,0,0,0,0
Loa loa,0,2,0,0,0,0,0
Euroglyphus maynei,0,2,0,0,0,0,0
Sarcoptes scabiei,0,3,0,0,0,0,0
Ixodes scapularis,0,3,0,0,0,0,0
Galendromus occidentalis,0,3,0,1,0,0,0
Tropilaelaps mercedesae,0,4,0,0,0,0,0
Varroa jacobsoni,0,4,0,0,0,0,0
Strigamia maritima,0,3,0,0,0,0,4
Daphnia magna,0,3,0,0,0,0,1
Ladona fulva,0,3,0,0,0,0,0
Ephemera danica,0,4,0,0,0,0,0
Agrilus planipennis,0,3,0,0,0,0,1
