Tinamus guttatus
Struthio camelus
Coturnix japonica
Meleagris gallopavo
Gallus gallus
Numida meleagris
Anser cygnoides
Anas platyrhynchos
Calypte anna
Chaetura pelagica
Balearica regulorum gibbericeps
Tauraco erythrolophus
Cuculus canorus
Columba livia
Mesitornis unicolor
Chlamydotis macqueenii
Calidris pugnax
Fulmarus glacialis
Gavia stellata
Charadrius vociferus
Aptenodytes forsteri
Pygoscelis adeliae
Nipponia nippon
Phalacrocorax carbo
Pelecanus crispus
Egretta garzetta
Picoides pubescens
Colius striatus
Tyto alba
Opisthocomus hoazin
Cariama cristata
Apaloderma vittatum
Nestor notabilis
Melopsittacus undulatus
Merops nubicus
Aquila chrysaetos
Haliaeetus albicilla
Sturnus vulgaris
Acanthisitta chloris
Zonotrichia albicollis
Geospiza fortis
Ficedula albicollis
Manacus vitellinus
Corvus brachyrhynchos
Serinus canaria
Lonchura striata
Taeniopygia guttata
Cyanistes caeruleus
Eurypyga helias
Leptosomus discolor
