Rhincodon typus
Callorhinchus milii
Lepisosteus oculatus
Paramormyrops kingsleyae
Scleropages formosus
Clupea harengus
Ictalurus punctatus
Pygocentrus nattereri
Astyanax mexicanus
Cyprinus carpio
Danio rerio
Sinocyclocheilus grahami
Sinocyclocheilus rhinocerous
Sinocyclocheilus anshuiensis
Esox lucius
Salmo salar
Salvelinus alpinus
Oncorhynchus tshawytscha
Oncorhynchus kisutch
Oncorhynchus mykiss
Hippocampus comes
Larimichthys crocea
Takifugu rubripes
Lates calcarifer
Cynoglossus semilaevis
Paralichthys olivaceus
Seriola lalandi
Seriola dumerili
Acanthochromis polyacanthus
Stegastes partitus
Amphiprion ocellaris
Neolamprologus brichardi
Oreochromis niloticus
Pundamilia nyererei
Oryzias latipes
Oryzias melastigma
Nothobranchius furzeri
Kryptolebias marmoratus
Austrofundulus limnaeus
Fundulus heteroclitus
Cyprinodon variegatus
Xiphophorus maculatus
Poecilia formosa
Latimeria chalumnae
Nanorana parkeri
Xenopus laevis
Xenopus tropicalis
Gekko japonicus
Anolis carolinensis
Pogona vitticeps
Python bivittatus
Thamnophis sirtalis
Protobothrops mucrosquamatus
Pelodiscus sinensis
Chelonia mydas
Chrysemys picta bellii
Gavialis gangeticus
Crocodylus porosus
Alligator sinensis
Alligator mississippiensis
Struthio camelus
Tinamus guttatus
Gavia stellata
Pterocles gutturalis
Buceros rhinoceros silvestris
Tauraco erythrolophus
Columba livia
Cuculus canorus
Picoides pubescens
Colius striatus
Tyto alba
Fulmarus glacialis
Opisthocomus hoazin
Cariama cristata
Apaloderma vittatum
Nestor notabilis
Melopsittacus undulatus
Charadrius vociferus
Calidris pugnax
Merops nubicus
Leptosomus discolor
Falco cherrug
Falco peregrinus
Aptenodytes forsteri
Pygoscelis adeliae
Antrostomus carolinensis
Chaetura pelagica
Calypte anna
Aquila chrysaetos
Haliaeetus albicilla
Eurypyga helias
Mesitornis unicolor
Balearica regulorum gibbericeps
Chlamydotis macqueenii
Nipponia nippon
Phalacrocorax carbo
Phaethon lepturus
Pelecanus crispus
Egretta garzetta
Anser cygnoides
Anas platyrhynchos
Numida meleagris
Meleagris gallopavo
Coturnix japonica
Gallus gallus
Sturnus vulgaris
Acanthisitta chloris
Zonotrichia albicollis
Geospiza fortis
Ficedula albicollis
Lepidothrix coronata
Manacus vitellinus
Corvus cornix cornix
Corvus brachyrhynchos
Serinus canaria
Lonchura striata
Taeniopygia guttata
Parus major
Cyanistes caeruleus
Pseudopodoces humilis
Ornithorhynchus anatinus
Monodelphis domestica
Phascolarctos cinereus
Sarcophilus harrisii
Dasypus novemcinctus
Loxodonta africana
Echinops telfairi
Chrysochloris asiatica
Orycteropus afer
Trichechus manatus
Elephantulus edwardii
Tupaia chinensis
Galeopterus variegatus
Ochotona princeps
Oryctolagus cuniculus
Ictidomys tridecemlineatus
Marmota marmota marmota
Castor canadensis
Dipodomys ordii
Chinchilla lanigera
Cavia porcellus
Octodon degus
Fukomys damarensis
Heterocephalus glaber
Jaculus jaculus
Nannospalax galili
Peromyscus maniculatus bairdii
Microtus ochrogaster
Cricetulus griseus
Mesocricetus auratus
Meriones unguiculatus
Rattus norvegicus
Mus pahari
Mus caroli
Mus musculus
Otolemur garnettii
Propithecus coquereli
Microcebus murinus
Carlito syrichta
Aotus nancymaae
Callithrix jacchus
Saimiri boliviensis boliviensis
Cebus capucinus imitator
Nomascus leucogenys
Pongo abelii
Homo sapiens
Gorilla gorilla gorilla
Pan paniscus
Pan troglodytes
Colobus angolensis palliatus
Piliocolobus tephrosceles
Rhinopithecus bieti
Rhinopithecus roxellana
Mandrillus leucophaeus
Cercocebus atys
Papio anubis
Chlorocebus sabaeus
Macaca nemestrina
Macaca mulatta
Macaca fascicularis
Manis javanica
Erinaceus europaeus
Condylura cristata
Sorex araneus
Ceratotherium simum
Equus asinus
Equus caballus
Equus przewalskii
Rousettus aegyptiacus
Pteropus vampyrus
Pteropus alecto
Rhinolophus sinicus
Hipposideros armiger
Eptesicus fuscus
Miniopterus natalensis
Myotis lucifugus
Myotis brandtii
Myotis davidii
Felis catus
Acinonyx jubatus
Panthera pardus
Panthera tigris
Canis lupus familiaris
Odobenus rosmarus divergens
Ailuropoda melanoleuca
Ursus maritimus
Mustela putorius
Enhydra lutris
Leptonychotes weddellii
Neomonachus schauinslandi
Sus scrofa
Vicugna pacos
Camelus ferus
Camelus dromedarius
Camelus bactrianus
Balaenoptera acutorostrata
Lipotes vexillifer
Physeter catodon
Delphinapterus leucas
Tursiops truncatus
Orcinus orca
Odocoileus virginianus
Pantholops hodgsonii
Ovis aries musimon
Capra hircus
Bubalus bubalis
Bison bison
Bos taurus
Bos grunniens
Bos indicus
