Lepisosteus oculatus
Paramormyrops kingsleyae
Scleropages formosus
Clupea harengus
Ictalurus punctatus
Pygocentrus nattereri
Astyanax mexicanus
Cyprinus carpio
Danio rerio
Sinocyclocheilus grahami
Sinocyclocheilus rhinocerous
Sinocyclocheilus anshuiensis
Esox lucius
Salmo salar
Salvelinus alpinus
Oncorhynchus tshawytscha
Oncorhynchus kisutch
Oncorhynchus mykiss
Boleophthalmus pectinirostris
Monopterus albus
Hippocampus comes
Notothenia coriiceps
Labrus bergylta
Larimichthys crocea
Takifugu rubripes
Lates calcarifer
Cynoglossus semilaevis
Paralichthys olivaceus
Seriola lalandi
Seriola dumerili
Acanthochromis polyacanthus
Stegastes partitus
Amphiprion ocellaris
Neolamprologus brichardi
Oreochromis niloticus
Haplochromis burtoni
Maylandia zebra
Pundamilia nyererei
Oryzias latipes
Oryzias melastigma
Nothobranchius furzeri
Kryptolebias marmoratus
Austrofundulus limnaeus
Fundulus heteroclitus
Cyprinodon variegatus
Xiphophorus maculatus
Poecilia reticulata
Poecilia mexicana
Poecilia latipinna
Poecilia formosa
