HGNC approved symbol;HGNC approved name;UniProt ID (human);Pfam domains;UniProt AC (mouse);UniProt ID (mouse);Function;Modification;Protein complex;Target molecule;Target entity;Product
KEAP1;kelch-like ECH-associated protein 1;KEAP1_HUMAN;BACK PF07707 184-286, BTB PF00651 67-179, Kelch_1 PF01344 317-359 361-410 412-457 459-504 506-551 553-598;Q9Z2X8;KEAP1_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
HDAC5;histone deacetylase 5;HDAC5_HUMAN;HDAC4_Gln PF12203 66-133, Hist_deacetyl PF00850 693-1023;Q9Z2V6;HDAC5_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
HDAC6;histone deacetylase 6;HDAC6_HUMAN;Hist_deacetyl PF00850 95-403 489-799, zf-UBP PF02148 1133-1195;Q9Z2V5;HDAC6_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
ACTL6A;actin-like 6A;ACL6A_HUMAN;Actin PF00022 8-429;Q9Z2N8;ACL6A_MOUSE;Chromatin remodeling cofactor;#;BAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1, Ino80, NuA4, NuA4-related complex, SRCAP;chromatin;#;#
MBD1;methyl-CpG binding domain protein 1;MBD1_HUMAN;MBD PF01429 1-85, Pfam-B_12306 PB012306 468-526, Pfam-B_9691 PB009691 528-587, zf-CXXC PF02008 168-215 217-262 330-377;Q9Z2E2;MBD1_MOUSE;Histone modification write cofactor, TF;Histone methylation, TF repressor;#;DNA;mCG, DNA motif;#
MBD2;methyl-CpG binding domain protein 2;MBD2_HUMAN;MBD PF01429 145-216, MBD_C PF14048 294-387;Q9Z2E1;MBD2_MOUSE;Histone modification write cofactor, Histone modification erase cofactor, TF;Histone methylation, Histone acetylation, TF repressor;NuRD, MeCP1;DNA;mCG, DNA motif;#
MBD3;methyl-CpG binding domain protein 3;MBD3_HUMAN;MBD PF01429 1-72, MBD_C PF14048 150-243;Q9Z2D8;MBD3_MOUSE;Histone modification erase cofactor;Histone acetylation;NuRD;histone;#;#
MBD4;methyl-CpG binding domain protein 4;MBD4_HUMAN;HhH-GPD PF00730 461-575, MBD PF01429 76-151, Pfam-B_47325 PB047325 409-460;Q9Z2D7;MBD4_MOUSE;DNA modification;#;#;DNA;G:T, G:U;#
MECP2;methyl CpG binding protein 2;MECP2_HUMAN;MBD PF01429 90-164;Q9Z2D6;MECP2_MOUSE;Histone modification write cofactor, Histone modification write cofactor, TF;Histone methylation, Histone acetylation, TF repressor;#;DNA;mCG, DNA motif;#
RPS6KA4;ribosomal protein S6 kinase, 90kDa, polypeptide 4;KS6A4_HUMAN;Pkinase PF00069 33-301 413-674, Pkinase_C PF00433 321-365;Q9Z2B9;KS6A4_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H3S10, H3S28;H3S10ph, H3S28ph
BAZ1B;bromodomain adjacent to zinc finger domain, 1B;BAZ1B_HUMAN;Bromodomain PF00439 1348-1431, PHD PF00628 1186-1234, WAC_Acf1_DNA_bd PF10537 20-120, WHIM1 PF15612 724-773, WHIM2 PF15613 899-936, WHIM3 PF15614 991-1031;Q9Z277;BAZ1B_MOUSE;Histone modification write;Histone phosphorylation;B-WICH, WINAC;histone;H2AXT142, H3;H2AXY142ph
UBE2A;ubiquitin-conjugating enzyme E2A;UBE2A_HUMAN;UQ_con PF00179 8-145;Q9Z255;UBE2A_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2A, H2BK120;H2BK120ub1
AEBP2;AE binding protein 2;AEBP2_HUMAN;Pfam-B_22101 PB022101 1-79, Pfam-B_8048 PB008048 401-515, zf-H2C2_2 PF13465 315-341;Q9Z248;AEBP2_MOUSE;Histone modification write cofactor;Histone methylation;PRC2;DNA;#;#
