label;Name
254215at7742;Lbr
30230at7742;Atad2
365597at7742;Brms1
183332at7742;Cdc6
4958at7742;Chd6-Chd7-Chd8
212139at7742;Ctbp1
233490at7742;Dmap1
109923at7742;Epc2
21541at7742;Hcfc1
77322at7742;Hells
401469at7742;Hmgb1
287006at7742;Hp1bp3
111614at7742;Keap1
270988at7742;Mapkapk3
298369at7742;Mbd6
214728at7742;Phf10
225564at7742;Ppm1g
364402at7742;Psip1
48371at7742;Rad54b-Rad54l
36269at7742;Rad54l2
48282at7742;Rai1
260631at7742;Safb
51253at7742;Smarca5-Smarca1
102390at7742;Smarcad1
82265at7742;Smarcal1
237858at7742;Smarcd1-Smarcd3
410646at7742;Ss18l1
432452at7742;Ss18l2
36764at7742;Top2b
74611at7742;Znf541
216676at7742;Actb
193330at7742;Actl6a-Actl6b
208372at7742;Actr6
63299at7742;Adnp
413605at7742;Anp32a
72731at7742;Cul2
345387at7742;Dpf1
53843at7742;Hltf
339768at7742;Ino80b
362141at7742;Ino80c
77272at7742;Ino80d
105844at7742;Mta1-Mta3
49104at7742;Mybbp1a
41953at7742;Myo1c
31586at7742;Ncoa2
191929at7742;Ruvbl2-Ruvbl1
89350at7742;Satb1-Satb2
86559at7742;Smarcc1-Smarcc2
192038at7742;Smarcd2
302469at7742;Smarce1
145493at7742;Sp100
439637at7742;Yaf2
384591at7742;Tfpt
97783at7742;Tlk2
304569at7742;Vps72
284361at7742;Foxa1
